Link,Text
ai-datascience-research.php,Artificial Intelligence & Data Science
ai-and-ml-research.php,Artificial Intelligence & Machine Learning
aeronautical-research.php,Aeronautical Engineering
civil-research.php,Civil Engineering
#,Computer Science & Business Systems
computer-science-research.php,Computer Science & Engineering
electrical-and-electronics-research.php,Electrical & Electronics Engineering
electronics-and-communication-research.php,Electronics & Communication Engineering
#,Electronics Engineering (VLSI Design & Technology)
information-science-and-engineering-research.php,Information Science & Engineering
mechanical-research.php,Mechanical Engineering
mba.php#research,Management Studies
master-computer-application.php#research,MCA
https://www.nmit.ac.in/supporting-departments.php#research,Science and Humanities
funded-research.php,Funded Research Projects 
promotion-of-research.php,Policy For Research Promotion
ph-d-awarded.php,Ph.D. AWARDED
code-ethics.php,Code of Ethics
#,Life@NMIT 
sports.php,Sports 
ncc.php,National Cadets Corps (NCC) 
nss.php,National Service Scheme (NSS) 
red-cross-society.php,Youth wing of Red Cross Society 
rotarct.php,Rotaract Club 
anaadyanta.php,Anaadyanta 
chiguru.php,Chiguru 
pdf/StudentsCouncil-2022-23.pdf  ,Student Council 
https://www.ecellnmit.in/,ECELLNMIT
pdf/feedback/IISP_NMIT_2021_Policy.pdf,NMIT’s Innovation And Start-up Policy
ipr-consultancy-policy.php,IPR & Consultancy Policy
iedc.php,Innovation And Entrepreneurship Development Center (IEDC)
msme.php,MSME Incubation Center
autonomy.php,Autonomy
rules-and-regulation.php,Rules & Regulation
scheme-and-syllabus.php,Scheme & Syllabus
coursera-schema.php,Coursera Scheme
academic-council.php,Academic Council
library-and-information-center.php,Library & Information Centre
hostels.php,Hostels
helthcare.php,Health Care
transport.php,Transportation & Parking facility 
canteen.php,Cafeteria
coparative.php,Co-Operative society
gymnasium.php,Gymnasium
seminar-hall.php,Seminar Halls & Auditorium
bank.php,ATM
security.php,Security
amenities.php,Other Highlights
mentoring.php,Mentoring
counselling.php,Counselling
pdf/new-one/Anti Ragging Committee.pdf,Prevention of Ragging
images/NMIT_GRC_2022.pdf,Grievances Redressal Cell
https://www.nmit.ac.in/img/pdf/SCSTBCM%204357.pdf,Committee for SC/ST
https://drive.google.com/file/d/1VWaKwk48pb6AwhurjOJpY9kBDmY9-wqy/view?usp=sharing,Internal Complaints Committee
ostium.php,OSTIUM
https://researchjournalnmit.wordpress.com/,Anusandhana
https://nmit.ac.in/ercicam/,ERCICAM - 2025
https://www.nmit.ac.in/nmitcon/,NMITCON - 2024
https://www.nmit.ac.in/ercam.php,ERCAM - 2024
https://www.nmit.ac.in/erma/,ERMA 2023
e-resourses.php,E-Resources
international-relations/index.php,International Relations
#,Quick Links 
http://lms.nmit.ac.in/moodle/,NMIT-LMS 
https://www.nmit.ac.in/nirf.php,NIRF
nba-new.php,NBA
naac.php,NAAC
iqac.php,IQAC
mandatory.php,Mandatory Disclosure
pdf/ATAL2021ReportNMIT.pdf, ARIIA
https://nmit.directverify.in/student/#/app/request,Credential Verification
https://docs.google.com/forms/d/e/1FAIpQLSfzoky_oKrXdXRUxN4hAZrSndTVPEMidSlDBkiWnpT8N4lv-w/viewform,Apply for LoR
https://forms.gle/pJhshMiHwFWyVrX76,Application for Certificates
alumni-association.php,Alumni Association
https://docs.google.com/forms/d/e/1FAIpQLSex2UcGSELusOSdhX_mo-BMRpDD_zOnthnZwRnW41zden9K7w/viewform, Grievance Redressal
http://www.nmit.ac.in/academic-calendar.php,Academic Calendar
#,Discover NITTE 
http://kshema.nitte.edu.in/," K.S Hegde Medical Academy, Mangalore"
https://absmids.nitte.edu.in/," A.B Shetty Memorial Institute of Dental Sciences, Mangalore"
http://ngsmips.nitte.edu.in/," Nitte Gulabi Shetty Memorial Institute of PhARMaceutical Sciences, Mangalore"
https://ncops.ac.in/," Nitte College of Pharmaceutical Sciences, Bengaluru"
https://nuins.nitte.edu.in/," Nitte Usha Institute of Nursing Sciences, Mangalore"
https://nipt.nitte.edu.in/," Nitte Institute of Physiotherapy, Mangalore"
https://nish.nitte.edu.in/," Nitte Institute  of Speech & Hearing, Mangalore"
http://nucser.nitte.edu.in/," Nitte University Centre for Science Education & Research, Mangalore"
http://nucsrem.nitte.edu.in/," Nitte University Centre for Stem Cell Research & Regenerative Medicine (NUCSReM), Mangalore"
https://nucare.nitte.edu.in/," Nitte University Centre for Animal Research & Experimentation (NUCARE), Mangalore"
http://www.nmamit.nitte.edu.in/," Nitte Mahalinga Adyanthaya Memorial Institute of Technology, Nitte"
http://www.nmit.ac.in//," Nitte Meenakshi Institute of Technology, Bangalore"
http://nia.nitte.edu.in/," Nitte Institute of Architecture, Mangalore"
https://www.nittesoa.ac.in/," Nitte School of Architecture Planning and Design, Bengaluru"
https://www.nitteftid.com/," Nitte School of Fashion Technology and Interior Design, Bengaluru"
https://jkshim.nitte.edu.in/," Justice K.S Hegde Institute of Management, Nitte"
https://nsom.ac.in/," Nitte School of Management, Bengaluru "
https://niths.nitte.edu.in/," Nitte Institute of Tourism and Hospitality Studies, Mangalore"
http://www.sihainst.com/index.php," Sarosh Institute of Hotel Administration, Mangalore"
http://nitte.co.in/index.php," Nitte  Education International, Pumpwell, Mangalore"
https://nico.nitte.edu.in/," Nitte Institute of Communication, Mangalore"
http://nramp.nitte.edu.in/,"Nitte Rukmini Adyanthaya Memorial Polytechnic, Nitte"
http://mrpiti.nitte.edu.in/,"Mulki Ramakrishna Punja Industrial Training Institute, Thokur"
https://www.nsam.ac.in/,"Dr. Nitte Shankara Adyanthaya Memorial First Grade College, Bengaluru"
https://nsampuc.ac.in/,"Dr. Nitte Shankara Adyanthaya Memorial Pre University College, Bengaluru"
http://nsamfgcn.nitte.edu.in/,"Dr. Nitte Shankara Adyanthaya Memorial First Grade College, Nitte"
http://nsampucn.nitte.edu.in/,"Dr. Nitte Shankara Adyanthaya Memorial Pre-University College, Nitte"
http://nsampucm.nitte.edu.in/,"Dr. Nitte Shankara Adyanthaya Memorial Pre-University College, Mangalore"
https://nis.ac.in/,"Nitte International School, Bengaluru"
http://www.nsamemhs.nitte.edu.in/,"Dr. Nitte Shankara Adyanthaya Memorial English Medium High School, Nitte"
http://mrsmems.nitte.edu.in/,"Dr. Mundkur Ramanna Shetty Memorial English Medium High School, Thokur"
#search,
https://nmitparents.contineo.in/,Parent Portal
https://nmitresults.contineo.in/,  E-results
https://www.automa.one/chat, Tech - QnA
applyonline.php,Apply Now
https://www.nmit.ac.in/apply-2024/,"
"
https://www.nmit.ac.in/apply-2024/,"
"
announcement.php,CET & COMEDK- Admission & Registration Process- 2024-25
announcement.php,6th Semester Time Table- July 2024
#nogo,  
announcement.php,"
 CET & COMEDK- Admission & Registration Process- 2024-25 
                                     6th Semester Time Table- July 2024 
                                     4th Semester Time Table- July 2024 
                                     2nd Semester Time Table- July 2024 
                                     Additional Classes  for students who have Shortage of Attendance 
                                     July-2024 Summer Term Time Table (2020 Batch) 
                                     NPTEL Course MSE I dates 
                                     NPTEL Course registration Summer Term 2024 
                                     Summer semester 2024 Registration- Circular 
                                     Convocation Fee Circular 2024 
                							"
news-details.php?id=711,We are Ranked 24 among India's Top 50 Engineering Colleges in the 2024 survey conducted by Academic Insights! 
news-all.php,All News
news-details.php?id=687,NMIT Students Develop AI & ML-Powered Swarm Drone Tech to address Bengaluru’s traffic woes
news-details.php?id=681,World Telecommunications and Information Society Day 2024
news-details.php?id=675,NMIT Hackathon 2024
https://www.youtube.com/watch?v=uCkERwtpYvQ,"

"
ai-datascience.php,Artificial Intelligence & Data Science
ai-machinelearning.php,Artificial Intelligence & Machine Learning
aeronautical-engineering.php,Aeronautical Engineering
civil-engineering.php,Civil Engineering
#,Computer Science & Business Systems
computer-science.php,Computer Science & Engineering
electrical-and-electronic.php,Electrical & Electronics Engineering
electronic-and-comunication.php,Electronics & Communication Engineering
#,Electronics Engineering (VLSI Design & Technology)
information-science-and-engineering.php,Information Science & Engineering
mechanical-engineering.php,Mechanical Engineering
defence-technology.php,Defence Technology
#,E-Mobility and AI
renewable-enregy.php,Renewable Energy
robotics-ai.php,Robotics and Artificial Intelligence
Structural-Engineering.php,Structural Engineering
mba.php, MBA
master-computer-application.php,MCA
supporting-departments.php,Science and Humanities
d.p-aeronautical-engineering.php,Aeronautical Engineering
d.p-civil-engineering.php,Civil Engineering
d.p-computer-science.php,Computer Science & Engineering
d.p-electrical-and-electronics-engineering.php,Electrical & Electronics Engineering
d.p-electronic-comunication.php,Electronics & Communication Engineering
d.p-information-science-and-engineering.php,Information Science & Engineering
d.p-mechanical-engineering.php,Mechanical Engineering
d.p-management-studies.php,Management Studies
d.p-mca.php,MCA
physics.php,Physics  
chemistry.php,Chemistry  
mathematics.php,Mathematics  
master-trainer-programe.php,Master Trainer Program
sports.php,Sports 
ncc.php,National Cadets Corps (NCC) 
nss.php,National Service Scheme (NSS) 
red-cross-society.php,Youth wing of Red Cross Society 
rotarct.php,Rotaract Club
anaadyanta.php,Anaadyanta 
chiguru.php,Chiguru 
pdf/new-one/Student Council 2021-22.pdf ,Student Council 
autonomy.php,Autonomy
rules-and-regulation.php,Rules & Regulation
scheme-and-syllabus.php,Scheme & Syllabus
coursera-schema.php,Coursera Scheme
academic-council.php,Academic Council
download.php,Downloads
feedback.php,Feedback on Curriculum
pdf/feedback/IISP_NMIT_2021_Policy.pdf,NMIT’s Innovation And Start-up Policy
ipr-consultancy-policy.php,IPR & Consultancy Policy
iedc.php,Innovation And Entrepreneurship Development Center (IEDC)
msme.php,MSME Incubation Center
admissions2024.php, Fee  Structure                     
admissions2024.php,Admissions@NMIT
applyonline.php,Application Online
brochure-download.php, Download Brochure
#,Read More
#,Read More
#,Read More
#,Read More
hostels.php,Hostels
transport.php,Transportation
library-and-information-center.php,Library & Information Centre
e-resourses.php,E-Resourses
canteen.php,CAFETERIA
helthcare.php,Health Care
counciling.php,Counselling
center-for-space-research.php,Center for Space Research
center-for-robotics-research.php,Centre for Robotics Research
center-for-nanomaterials-&-mems.php,Center for Nanomaterials & MEMS
center-of-design-engineering.php,Center for Design and Process Simulations
aerospace-and-internet-of-things.php,Aerospace and Internet of Things
power-engineering.php,Power Engineering
center-for-womens-empowerment.php,Centre for Women Empowerment
center-for-quantum-computing.php,Centre for Quantum Computing
center-for-cyber-security.php,Centre for Cyber Security
aeronautical-engineering-research.php,Aeronautical Engineering
civil-engineering-research.php,Civil Engineering
computer-science-engineering-research.php,Computer Science & Engineering
electrical-and-electronic-research.php,Electrical & Electronics Engineering
electronic-and-comunication-research.php,Electronics & Communication Engineering
information-science-and-engineering-research.php,Information Science & Engineering
mechanical-engineering-research.php,Mechanical Engineering
http://www.nmit.ac.in/mba.php#research,Management Studies
http://www.nmit.ac.in/master-computer-application.php#research,MCA
supporting-departments.php,Science and Humanities
funded-research.php,Funded Research Projects 
promotion-of-research.php,Policy For Research Promotion
ph-d-awarded.php,PH.D. AWARDED
code-ethics.php,Code of Ethics
placement.php,"

Placement
"
news-all.php,"

Happenings
"
applyonline.php,"

Apply Now
"
about-nmit.php,About NMIT
about-nitte.php,Nitte Education Trust
about-nitte-vision.php,"Vision, Mission & Core Values"
advisor-message.php,Advisor's Message
organization-structure.php,Organization Structure
principal.php,Principal's Message
governing-council.php,Governing Council
privacy-policy.php,Privacy Policy
http://lms.nmit.ac.in/moodle/,NMIT-LMS 
https://www.nmit.ac.in/nirf.php,NIRF
nba-new.php,NBA
naac.php,NAAC
iqac.php,IQAC
pdf/ATAL2021ReportNMIT.pdf, ARIIA
mandatory.php,Mandatory Disclosure
rankings.php,Rankings
https://docs.google.com/forms/d/e/1FAIpQLSfzoky_oKrXdXRUxN4hAZrSndTVPEMidSlDBkiWnpT8N4lv-w/viewform,Apply for LoR
http://www.nmit.ac.in/academic-calendar.php,Academic Calendar
alumni-association.php,Alumni Association
https://nmit.directverify.in/student/#/app/request,Credential Verification
tel:080 2216 7800,080 2216 7800
tel:81510-04455,81510-04455
tel:08022167929,080 2216 7929
mailto:enquiry@nitte.edu.in,enquiry@nitte.edu.in
https://www.facebook.com/NMITBangalore,
https://twitter.com/NMITBangalore,
https://www.youtube.com/channel/UCDtEzhlhNmASrxUz1MxQrhQ,
https://www.instagram.com/nmitbangalore/,
"https://api.whatsapp.com/send?phone=918147354951&text=To%20know%20more%20about%20any%20course%20offered%20by%20Nitte,%20please%20furnish%20the%20following%20details:%0aName:%0aPhone:%0aEmail%20Id:%0aCourse:%0aCity:%0aState:",
http://chillipages.com/,Chillipages Technologies
#,TOP
applyonline.php,
tel:+918151004455,+91-8151004455
mailto: enquiry@nitte.edu.in, enquiry@nitte.edu.in
"https://api.whatsapp.com/send?phone=918147354951&text=To%20know%20more%20about%20any%20course%20offered%20by%20Nitte,%20please%20furnish%20the%20following%20details:%0aName:%0aPhone:%0aEmail%20Id:%0aCourse:%0aCity:%0aState:","
"
